brand,archive_source_id,archive_model_name,archive_model_code,archive_model_url,archive_price_row_count,primary_source_kind,primary_has_launch_price,primary_has_trim_selector,primary_has_displacement,official_source_id,official_model_name,official_model_url,official_price_url,official_catalog_url,official_effective_text,supplement_match_status,supplement_match_reason,supplement_match_score
hyundai,archive_bobaedream_hyundai_index,그랜저XG,393,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=393&level_no=&level2_no=&year_no=,29,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴그랜져,394,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=394&level_no=&level2_no=&year_no=,27,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저,395,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=395&level_no=&level2_no=&year_no=,8,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,베르나 트랜스폼,1202,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1202&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,베르나 (신형),2464,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2464&level_no=&level2_no=&year_no=,32,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,넥쏘 (NH2),2933,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2933&level_no=&level2_no=&year_no=,3,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,디 올 뉴 넥쏘,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/the-all-new-nexo_price.pdf,https://www.hyundai.com/contents/repn-car/catalog/the-all-new-nexo-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,뉴 그레이스,422,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=422&level_no=&level2_no=&year_no=,46,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴 베르나,568,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=568&level_no=&level2_no=&year_no=,45,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,넥쏘,1918,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1918&level_no=&level2_no=&year_no=,2,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,다이너스티,391,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=391&level_no=&level2_no=&year_no=,33,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,베르나,403,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=403&level_no=&level2_no=&year_no=,29,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,라비타,416,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=416&level_no=&level2_no=&year_no=,66,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,마르샤,396,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=396&level_no=&level2_no=&year_no=,10,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 맥스크루즈,1674,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1674&level_no=&level2_no=&year_no=,31,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,맥스크루즈,1554,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1554&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그레이스,2463,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2463&level_no=&level2_no=&year_no=,10,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,베라크루즈,840,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=840&level_no=&level2_no=&year_no=,74,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴 스쿠프,2086,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2086&level_no=&level2_no=&year_no=,4,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,벨로스터 N,2407,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2407&level_no=&level2_no=&year_no=,4,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,벨로스터 [JS],1896,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1896&level_no=&level2_no=&year_no=,6,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 벨로스터,1688,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1688&level_no=&level2_no=&year_no=,4,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,벨로스터,1391,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1391&level_no=&level2_no=&year_no=,15,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타모,406,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=406&level_no=&level2_no=&year_no=,22,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,스쿠프,420,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=420&level_no=&level2_no=&year_no=,4,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 그랜드스타렉스,1888,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1888&level_no=&level2_no=&year_no=,47,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜드스타렉스,887,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=887&level_no=&level2_no=&year_no=,80,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴스타렉스,698,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=698&level_no=&level2_no=&year_no=,138,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,스타렉스,407,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=407&level_no=&level2_no=&year_no=,134,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,디 올 뉴 싼타페,2798,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2798&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,싼타페,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/santafe-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/santafe-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,스텔라,573,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=573&level_no=&level2_no=&year_no=,17,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,디 올 뉴 싼타페 하이브리드,2799,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2799&level_no=&level2_no=&year_no=,14,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,싼타페 Hybrid,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/santafe-hev-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/santafe-hybrid-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,더 뉴 싼타페,2317,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2317&level_no=&level2_no=&year_no=,58,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 싼타페 하이브리드,2400,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2400&level_no=&level2_no=&year_no=,18,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페TM,1897,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1897&level_no=&level2_no=&year_no=,38,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페 더 프라임,1661,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1661&level_no=&level2_no=&year_no=,41,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페DM,1503,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1503&level_no=&level2_no=&year_no=,45,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페 더스타일,1158,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1158&level_no=&level2_no=&year_no=,38,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페CM,786,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=786&level_no=&level2_no=&year_no=,63,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,싼타페,408,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=408&level_no=&level2_no=&year_no=,78,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타 디 엣지,2780,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2780&level_no=&level2_no=&year_no=,17,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,쏘나타 디 엣지 nline 포함,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge_catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,쏘나타 디 엣지 하이브리드,2781,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2781&level_no=&level2_no=&year_no=,4,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,쏘나타 디 엣지 Hybrid,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge-hybrid2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/sonata-the-edge-hybrid-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,쏘나타 DN8,1985,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1985&level_no=&level2_no=&year_no=,48,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타 하이브리드 [DN8],2084,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2084&level_no=&level2_no=&year_no=,13,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 아반떼 [CN7],2767,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2767&level_no=&level2_no=&year_no=,10,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,아반떼 nline 포함,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/avante-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/avante-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,쏘나타 뉴 라이즈,1796,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1796&level_no=&level2_no=&year_no=,49,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타 뉴 라이즈 하이브리드,1830,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1830&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,LF쏘나타,1596,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1596&level_no=&level2_no=&year_no=,53,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,LF쏘나타 하이브리드,1728,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1728&level_no=&level2_no=&year_no=,12,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 아반떼 하이브리드 [CN7],2768,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2768&level_no=&level2_no=&year_no=,5,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,아반떼 Hybrid nline 포함,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/avante-hybrid-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/avante-hybrid_catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,쏘나타 더 브릴리언트,1542,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1542&level_no=&level2_no=&year_no=,30,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,쏘나타 하이브리드,1416,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1416&level_no=&level2_no=&year_no=,13,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,YF쏘나타,1154,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1154&level_no=&level2_no=&year_no=,70,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,NF쏘나타 트랜스폼,913,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=913&level_no=&level2_no=&year_no=,55,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,NF쏘나타,729,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=729&level_no=&level2_no=&year_no=,60,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 아반떼 N,2791,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2791&level_no=&level2_no=&year_no=,8,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,아반떼 N,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/avante-n-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/avante-n-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,뉴EF쏘나타,397,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=397&level_no=&level2_no=&year_no=,85,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
