brand,model_name,trim_name,major_category,size_score,model_year,vehicle_age_years,color,mileage_km,price_manwon
hyundai,더 뉴 그랜저,캘리그래피,sedan,80.141388,2022,4.0,검정,91636.0,2790
kia,카니발 4세대,시그니처,van,92.896175,2023,3.17,검정,62172.0,3420
kia,셀토스,프레스티지,suv,21.933622,2020,6.42,미색,91969.0,1650
hyundai,더 뉴 아반떼 [CN7],모던,sedan,13.174807,2025,1.25,흰색,281.0,2270
hyundai,싼타페 더 프라임,프리미엄,suv,60.02886,2021,5.5,검정,120898.0,2050
chevrolet,올 뉴 크루즈,LTZ,sedan,19.023136,2017,8.83,흰색,166874.0,610
kia,카니발 4세대,노블레스,van,69.398907,2023,3.08,미색,49600.0,3390
kgm,베리 뉴 티볼리,V3,suv,18.686869,2022,3.92,"파랑(남색,곤색)",33277.0,1790
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2024,2.42,흰색,56854.0,3650
hyundai,스타리아,스마트,van,78.688525,2022,4.0,흰색,80230.0,2090
hyundai,LF쏘나타,모던,sedan,57.647815,2015,11.0,갈색(밤색),140793.0,850
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2020,6.58,흰색,40372.0,1090
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2020,6.08,"파랑(남색,곤색)",35561.0,2500
chevrolet,리얼 뉴 콜로라도,Z71-X 미드나잇,truck,64.02439,2022,2.58,검정,25539.0,3480
hyundai,올 뉴 투싼,모던,suv,37.950938,2020,6.0,"파랑(남색,곤색)",60069.0,2020
kia,K5,노블레스,sedan,27.377892,2020,5.92,쥐색,91250.0,1990
hyundai,제네시스,럭셔리,sedan,89.33162,2018,8.08,회색,89329.0,1899
kia,카니발 4세대,시그니처,van,92.896175,2022,4.17,회색,114920.0,2850
hyundai,올 뉴 아반떼 하이브리드 [CN7],인스퍼레이션,sedan,11.182519,2021,4.92,회색,84250.0,2230
chevrolet,올란도,LTZ 프리미엄,van,20.491803,2016,9.67,흰색,110380.0,750
kia,더 뉴 모하비,프레지던트,suv,89.75469,2017,8.83,미색,136537.0,1999
kia,더 뉴 쏘렌토 4세대 하이브리드,시그니처,suv,69.84127,2025,1.0,회색,22544.0,4440
kia,카니발 4세대,시그니처,van,92.896175,2021,4.42,검정색,70448.0,3890
kia,디 올 뉴 스포티지,시그니처 그래비티,suv,57.503608,2024,2.42,회색,12147.0,3260
kia,카니발 4세대,시그니처,van,92.896175,2021,5.42,검정색,58585.0,3080
hyundai,그랜드스타렉스,CVX 프리미엄,van,56.010929,2015,11.75,회색,137742.0,599
hyundai,싼타페DM,익스클루시브 스페셜,suv,59.307359,2015,10.83,흰색,105507.0,1240
hyundai,그랜저HG,프리미엄,sedan,70.308483,2015,10.83,흰색,147212.0,840
kia,더 뉴 기아 레이,시그니처,hatchback,53.367876,2023,2.92,미색,38226.0,1630
kia,더 뉴 레이,프레스티지,van,3.005464,2021,5.42,흰색,42400.0,1240
chevrolet,올 뉴 말리부,LTZ 프리미엄 세이프티,sedan,51.863753,2017,9.5,흰색,93772.0,1030
kgm,렉스턴 스포츠 칸,5링크 다이나믹 에디션,truck,85.365854,2021,5.58,검정색,102952.0,1899
hyundai,그랜저HG,모던,sedan,61.568123,2016,10.5,회색,143684.0,799
hyundai,싼타페DM,익스클루시브,suv,59.307359,2015,11.33,흰색,160816.0,970
hyundai,더 뉴 그랜드스타렉스,4WD,van,60.10929,2019,6.58,청색,101965.0,2050
kia,올 뉴 카니발,5인승,van,41.803279,2018,8.08,청색,48706.0,650
